uuid,timestamp,event,dia_min,dia_max,temp_avg,check
1556,2022-03-07 13:42:31,Produce Workpiece,,,,
1556,2022-03-07 15:42:31,Measure Workpiece,2.19,4.12,,
1556,2022-03-07 17:42:31,Put Workpiece in OK Pile,,,,OK
1557,2022-03-01 09:07:23,Produce Workpiece,,,,
1557,2022-03-01 11:07:23,Measure Workpiece,2.66,4.22,,
1557,2022-03-01 13:07:23,Put Workpiece in OK Pile,,,,OK
1558,2022-03-13 13:31:07,Produce Workpiece,,,,
1558,2022-03-13 15:31:07,Measure Workpiece,2.78,4.24,,
1558,2022-03-13 17:31:07,Put Workpiece in OK Pile,,,,OK
1559,2022-03-01 08:15:39,Produce Workpiece,,,,
1559,2022-03-01 10:15:39,Measure Workpiece,2.85,4.16,,
1559,2022-03-01 12:15:39,Put Workpiece in OK Pile,,,,OK
1560,2022-03-19 16:05:21,Produce Workpiece,,,,
1560,2022-03-19 18:05:21,Measure Workpiece,2.8,4.68,,
1560,2022-03-19 20:05:21,Put Workpiece in OK Pile,,,,OK
1561,2022-03-16 18:11:22,Produce Workpiece,,,,
1561,2022-03-16 20:11:22,Measure Workpiece,2.85,4.54,,
1561,2022-03-16 22:11:22,Put Workpiece in OK Pile,,,,OK
1562,2022-03-04 15:25:59,Produce Workpiece,,,,
1562,2022-03-04 17:25:59,Measure Workpiece,2.62,4.04,,
1562,2022-03-04 19:25:59,Put Workpiece in OK Pile,,,,OK
1563,2022-03-02 11:38:47,Produce Workpiece,,,,
1563,2022-03-02 13:38:47,Measure Workpiece,2.41,4.32,,
1563,2022-03-02 15:38:47,Put Workpiece in OK Pile,,,,OK
1564,2022-03-07 14:41:17,Produce Workpiece,,,,
1564,2022-03-07 16:41:17,Measure Workpiece,2.69,4.8,,
1564,2022-03-07 18:41:17,Put Workpiece in OK Pile,,,,OK
1565,2022-03-18 13:46:37,Produce Workpiece,,,,
1565,2022-03-18 15:46:37,Measure Workpiece,2.39,4.3,,
1565,2022-03-18 17:46:37,Put Workpiece in OK Pile,,,,OK
1566,2022-03-19 12:09:42,Produce Workpiece,,,,
1566,2022-03-19 14:09:42,Measure Workpiece,2.99,4.38,,
1566,2022-03-19 16:09:42,Put Workpiece in OK Pile,,,,OK
1567,2022-03-09 10:41:02,Produce Workpiece,,,,
1567,2022-03-09 12:41:02,Measure Workpiece,2.41,4.99,,
1567,2022-03-09 14:41:02,Put Workpiece in Scrap Pile,,,,NOK
1568,2022-03-10 12:09:31,Produce Workpiece,,,,
1568,2022-03-10 14:09:31,Measure Workpiece,2.77,4.65,,
1568,2022-03-10 16:09:31,Put Workpiece in OK Pile,,,,OK
1569,2022-03-02 12:19:49,Produce Workpiece,,,,
1569,2022-03-02 14:19:49,Measure Workpiece,2.6,4.04,,
1569,2022-03-02 16:19:49,Put Workpiece in OK Pile,,,,OK
1570,2022-03-06 09:12:45,Produce Workpiece,,,,
1570,2022-03-06 11:12:45,Measure Workpiece,2.8,4.4,,
1570,2022-03-06 13:12:45,Put Workpiece in OK Pile,,,,OK
1571,2022-03-17 13:34:09,Produce Workpiece,,,,
1571,2022-03-17 15:34:09,Measure Workpiece,2.97,4.12,,
1571,2022-03-17 17:34:09,Put Workpiece in OK Pile,,,,OK
1572,2022-03-14 17:46:41,Produce Workpiece,,,,
1572,2022-03-14 19:46:41,Measure Workpiece,2.63,4.51,,
1572,2022-03-14 21:46:41,Put Workpiece in OK Pile,,,,OK
1573,2022-03-03 15:22:38,Produce Workpiece,,,,
1573,2022-03-03 17:22:38,Measure Workpiece,2.33,4.48,,
1573,2022-03-03 19:22:38,Put Workpiece in OK Pile,,,,OK
1574,2022-03-04 11:07:31,Produce Workpiece,,,,
1574,2022-03-04 13:07:31,Measure Workpiece,2.65,4.49,,
1574,2022-03-04 15:07:31,Put Workpiece in OK Pile,,,,OK
1575,2022-03-17 08:39:18,Produce Workpiece,,,,
1575,2022-03-17 10:39:18,Measure Workpiece,2.89,4.01,,
1575,2022-03-17 12:39:18,Put Workpiece in Scrap Pile,,,,NOK
1576,2022-03-05 16:53:15,Produce Workpiece,,,,
1576,2022-03-05 18:53:15,Measure Workpiece,2.78,4.1,,
1576,2022-03-05 20:53:15,Put Workpiece in OK Pile,,,,OK
1577,2022-03-07 14:43:16,Produce Workpiece,,,,
1577,2022-03-07 16:43:16,Measure Workpiece,2.27,4.29,,
1577,2022-03-07 18:43:16,Put Workpiece in OK Pile,,,,OK
1578,2022-03-08 10:19:17,Produce Workpiece,,,,
1578,2022-03-08 12:19:17,Measure Workpiece,2.49,4.1,,
1578,2022-03-08 14:19:17,Put Workpiece in OK Pile,,,,OK
1579,2022-03-07 15:26:26,Produce Workpiece,,,,
1579,2022-03-07 17:26:26,Measure Workpiece,2.65,4.89,,
1579,2022-03-07 19:26:26,Put Workpiece in OK Pile,,,,OK
1580,2022-03-17 11:50:48,Produce Workpiece,,,,
1580,2022-03-17 13:50:48,Measure Workpiece,2.06,4.75,,
1580,2022-03-17 15:50:48,Put Workpiece in Scrap Pile,,,,NOK
1581,2022-03-17 09:33:53,Produce Workpiece,,,,
1581,2022-03-17 11:33:53,Measure Workpiece,2.3,4.76,,
1581,2022-03-17 13:33:53,Put Workpiece in Scrap Pile,,,,NOK
1582,2022-03-14 11:29:41,Produce Workpiece,,,,
1582,2022-03-14 13:29:41,Measure Workpiece,2.4,4.33,,
1582,2022-03-14 15:29:41,Put Workpiece in Scrap Pile,,,,NOK
1583,2022-03-20 14:54:49,Produce Workpiece,,,,
1583,2022-03-20 16:54:49,Measure Workpiece,2.9,4.29,,
1583,2022-03-20 18:54:49,Put Workpiece in OK Pile,,,,OK
1584,2022-03-02 10:49:26,Produce Workpiece,,,,
1584,2022-03-02 12:49:26,Measure Workpiece,2.59,4.02,,
1584,2022-03-02 14:49:26,Put Workpiece in OK Pile,,,,OK
1585,2022-03-06 13:51:35,Produce Workpiece,,,,
1585,2022-03-06 15:51:35,Measure Workpiece,2.37,4.29,,
1585,2022-03-06 17:51:35,Put Workpiece in OK Pile,,,,OK
1586,2022-03-17 14:38:03,Produce Workpiece,,,,
1586,2022-03-17 16:38:03,Measure Workpiece,2.17,4.89,,
1586,2022-03-17 18:38:03,Put Workpiece in OK Pile,,,,OK
1587,2022-03-07 10:20:18,Produce Workpiece,,,,
1587,2022-03-07 12:20:18,Measure Workpiece,2.93,4.82,,
1587,2022-03-07 14:20:18,Put Workpiece in OK Pile,,,,OK
1588,2022-03-07 13:49:08,Produce Workpiece,,,,
1588,2022-03-07 15:49:08,Measure Workpiece,2.57,4.93,,
1588,2022-03-07 17:49:08,Put Workpiece in Scrap Pile,,,,NOK
1589,2022-03-19 15:47:09,Produce Workpiece,,,,
1589,2022-03-19 17:47:09,Measure Workpiece,2.93,4.28,,
1589,2022-03-19 19:47:09,Put Workpiece in OK Pile,,,,OK
1590,2022-03-12 17:25:50,Produce Workpiece,,,,
1590,2022-03-12 19:25:50,Measure Workpiece,2.44,4.68,,
1590,2022-03-12 21:25:50,Put Workpiece in OK Pile,,,,OK
1591,2022-03-16 09:54:00,Produce Workpiece,,,,
1591,2022-03-16 11:54:00,Measure Workpiece,2.71,4.28,,
1591,2022-03-16 13:54:00,Put Workpiece in OK Pile,,,,OK
1592,2022-03-10 12:41:10,Produce Workpiece,,,,
1592,2022-03-10 14:41:10,Measure Workpiece,2.9,4.4,,
1592,2022-03-10 16:41:10,Put Workpiece in OK Pile,,,,OK
1593,2022-03-14 17:47:15,Produce Workpiece,,,,
1593,2022-03-14 19:47:15,Measure Workpiece,2.07,4.53,,
1593,2022-03-14 21:47:15,Put Workpiece in Scrap Pile,,,,NOK
1594,2022-03-14 17:06:32,Produce Workpiece,,,,
1594,2022-03-14 19:06:32,Measure Workpiece,2.22,4.27,,
1594,2022-03-14 21:06:32,Put Workpiece in OK Pile,,,,OK
1595,2022-03-03 17:01:38,Produce Workpiece,,,,
1595,2022-03-03 19:01:38,Measure Workpiece,2.98,4.8,,
1595,2022-03-03 21:01:38,Put Workpiece in OK Pile,,,,OK
1596,2022-03-08 09:14:56,Produce Workpiece,,,,
1596,2022-03-08 11:14:56,Measure Workpiece,2.79,4.02,,
1596,2022-03-08 13:14:56,Put Workpiece in OK Pile,,,,OK
1597,2022-03-06 11:13:42,Produce Workpiece,,,,
1597,2022-03-06 13:13:42,Measure Workpiece,2.35,4.57,,
1597,2022-03-06 15:13:42,Put Workpiece in OK Pile,,,,OK
1598,2022-03-15 11:17:44,Produce Workpiece,,,,
1598,2022-03-15 13:17:44,Measure Workpiece,2.9,4.02,,
1598,2022-03-15 15:17:44,Put Workpiece in OK Pile,,,,OK
1599,2022-03-19 15:08:54,Produce Workpiece,,,,
1599,2022-03-19 17:08:54,Measure Workpiece,2.79,4.29,,
1599,2022-03-19 19:08:54,Put Workpiece in OK Pile,,,,OK
1600,2022-03-14 10:10:55,Produce Workpiece,,,,
1600,2022-03-14 12:10:55,Measure Workpiece,2.23,4.21,,
1600,2022-03-14 14:10:55,Put Workpiece in OK Pile,,,,OK
1601,2022-03-02 11:02:47,Produce Workpiece,,,,
1601,2022-03-02 13:02:47,Measure Workpiece,2.95,4.57,,
1601,2022-03-02 15:02:47,Put Workpiece in OK Pile,,,,OK
1602,2022-03-06 17:33:40,Produce Workpiece,,,,
1602,2022-03-06 19:33:40,Measure Workpiece,2.61,4.56,,
1602,2022-03-06 21:33:40,Put Workpiece in OK Pile,,,,OK
1603,2022-03-07 16:06:06,Produce Workpiece,,,,
1603,2022-03-07 18:06:06,Measure Workpiece,2.47,4.55,,
1603,2022-03-07 20:06:06,Put Workpiece in OK Pile,,,,OK
1604,2022-03-09 17:10:44,Produce Workpiece,,,,
1604,2022-03-09 19:10:44,Measure Workpiece,2.37,4.98,,
1604,2022-03-09 21:10:44,Put Workpiece in Scrap Pile,,,,NOK
1605,2022-03-08 15:34:54,Produce Workpiece,,,,
1605,2022-03-08 17:34:54,Measure Workpiece,2.64,4.19,,
1605,2022-03-08 19:34:54,Put Workpiece in OK Pile,,,,OK
1606,2022-03-12 14:49:01,Produce Workpiece,,,,
1606,2022-03-12 16:49:01,Measure Workpiece,2.96,4.08,,
1606,2022-03-12 18:49:01,Put Workpiece in OK Pile,,,,OK
1607,2022-03-13 13:44:00,Produce Workpiece,,,,
1607,2022-03-13 15:44:00,Measure Workpiece,2.65,4.98,,
1607,2022-03-13 17:44:00,Put Workpiece in Scrap Pile,,,,NOK
1608,2022-03-03 10:25:21,Produce Workpiece,,,,
1608,2022-03-03 12:25:21,Measure Workpiece,2.66,4.71,,
1608,2022-03-03 14:25:21,Put Workpiece in OK Pile,,,,OK
1609,2022-03-01 09:18:09,Produce Workpiece,,,,
1609,2022-03-01 11:18:09,Measure Workpiece,2.83,4.2,,
1609,2022-03-01 13:18:09,Put Workpiece in OK Pile,,,,OK
1610,2022-03-12 15:36:17,Produce Workpiece,,,,
1610,2022-03-12 17:36:17,Measure Workpiece,2.72,4.54,,
1610,2022-03-12 19:36:17,Put Workpiece in OK Pile,,,,OK
1611,2022-03-06 11:35:59,Produce Workpiece,,,,
1611,2022-03-06 13:35:59,Measure Workpiece,2.4,4.9,,
1611,2022-03-06 15:35:59,Put Workpiece in Scrap Pile,,,,NOK
1612,2022-03-02 13:40:18,Produce Workpiece,,,,
1612,2022-03-02 15:40:18,Measure Workpiece,2.71,4.62,,
1612,2022-03-02 17:40:18,Put Workpiece in OK Pile,,,,OK
1613,2022-03-15 11:40:16,Produce Workpiece,,,,
1613,2022-03-15 13:40:16,Measure Workpiece,2.94,4.79,,
1613,2022-03-15 15:40:16,Put Workpiece in OK Pile,,,,OK
1614,2022-03-05 11:51:10,Produce Workpiece,,,,
1614,2022-03-05 13:51:10,Measure Workpiece,2.45,4.23,,
1614,2022-03-05 15:51:10,Put Workpiece in OK Pile,,,,OK
1615,2022-03-04 09:21:24,Produce Workpiece,,,,
1615,2022-03-04 11:21:24,Measure Workpiece,2.16,4.57,,
1615,2022-03-04 13:21:24,Put Workpiece in OK Pile,,,,OK
1616,2022-03-10 11:50:01,Produce Workpiece,,,,
1616,2022-03-10 13:50:01,Measure Workpiece,2.4,4.95,,
1616,2022-03-10 15:50:01,Put Workpiece in Scrap Pile,,,,NOK
1617,2022-03-10 18:57:17,Produce Workpiece,,,,
1617,2022-03-10 20:57:17,Measure Workpiece,2.74,4.76,,
1617,2022-03-10 22:57:17,Put Workpiece in OK Pile,,,,OK
1618,2022-03-12 08:06:17,Produce Workpiece,,,,
1618,2022-03-12 10:06:17,Measure Workpiece,2.38,4.19,,
1618,2022-03-12 12:06:17,Put Workpiece in OK Pile,,,,OK
1619,2022-03-18 16:42:37,Produce Workpiece,,,,
1619,2022-03-18 18:42:37,Measure Workpiece,2.38,4.23,,
1619,2022-03-18 20:42:37,Put Workpiece in OK Pile,,,,OK
1620,2022-03-05 10:45:32,Produce Workpiece,,,,
1620,2022-03-05 12:45:32,Measure Workpiece,2.03,4.67,,
1620,2022-03-05 14:45:32,Put Workpiece in Scrap Pile,,,,NOK
1621,2022-03-07 08:48:37,Produce Workpiece,,,,
1621,2022-03-07 10:48:37,Measure Workpiece,2.32,4.82,,
1621,2022-03-07 12:48:37,Put Workpiece in OK Pile,,,,OK
1622,2022-03-19 14:02:06,Produce Workpiece,,,,
1622,2022-03-19 16:02:06,Measure Workpiece,2.76,4.51,,
1622,2022-03-19 18:02:06,Put Workpiece in OK Pile,,,,OK
1623,2022-03-04 14:45:09,Produce Workpiece,,,,
1623,2022-03-04 16:45:09,Measure Workpiece,2.01,4.17,,
1623,2022-03-04 18:45:09,Put Workpiece in Scrap Pile,,,,NOK
1624,2022-03-20 12:06:42,Produce Workpiece,,,,
1624,2022-03-20 14:06:42,Measure Workpiece,2.56,4.49,,
1624,2022-03-20 16:06:42,Put Workpiece in OK Pile,,,,OK
1625,2022-03-01 17:27:01,Produce Workpiece,,,,
1625,2022-03-01 19:27:01,Measure Workpiece,2.16,4.84,,
1625,2022-03-01 21:27:01,Put Workpiece in OK Pile,,,,OK
1626,2022-03-01 16:00:32,Produce Workpiece,,,,
1626,2022-03-01 18:00:32,Measure Workpiece,2.82,4.97,,
1626,2022-03-01 20:00:32,Put Workpiece in Scrap Pile,,,,NOK
1627,2022-03-15 11:27:50,Produce Workpiece,,,,
1627,2022-03-15 13:27:50,Measure Workpiece,2.11,4.51,,
1627,2022-03-15 15:27:50,Put Workpiece in OK Pile,,,,OK
1628,2022-03-14 14:01:16,Produce Workpiece,,,,
1628,2022-03-14 16:01:16,Measure Workpiece,2.71,4.29,,
1628,2022-03-14 18:01:16,Put Workpiece in OK Pile,,,,OK
1629,2022-03-02 10:27:06,Produce Workpiece,,,,
1629,2022-03-02 12:27:06,Measure Workpiece,2.39,4.68,,
1629,2022-03-02 14:27:06,Put Workpiece in OK Pile,,,,OK
1630,2022-03-03 11:08:03,Produce Workpiece,,,,
1630,2022-03-03 13:08:03,Measure Workpiece,2.53,4.74,,
1630,2022-03-03 15:08:03,Put Workpiece in OK Pile,,,,OK
1631,2022-03-13 09:18:27,Produce Workpiece,,,,
1631,2022-03-13 11:18:27,Measure Workpiece,2.09,4.48,,
1631,2022-03-13 13:18:27,Put Workpiece in Scrap Pile,,,,NOK
1632,2022-03-05 15:08:45,Produce Workpiece,,,,
1632,2022-03-05 17:08:45,Measure Workpiece,2.1,4.85,,
1632,2022-03-05 19:08:45,Put Workpiece in Scrap Pile,,,,NOK
1633,2022-03-02 09:22:09,Produce Workpiece,,,,
1633,2022-03-02 11:22:09,Measure Workpiece,2.19,4.89,,
1633,2022-03-02 13:22:09,Put Workpiece in OK Pile,,,,OK
1634,2022-03-13 18:55:14,Produce Workpiece,,,,
1634,2022-03-13 20:55:14,Measure Workpiece,2.81,4.19,,
1634,2022-03-13 22:55:14,Put Workpiece in OK Pile,,,,OK
1635,2022-03-19 17:58:07,Produce Workpiece,,,,
1635,2022-03-19 19:58:07,Measure Workpiece,2.44,4.37,,
1635,2022-03-19 21:58:07,Put Workpiece in OK Pile,,,,OK
1636,2022-03-07 10:39:59,Produce Workpiece,,,,
1636,2022-03-07 12:39:59,Measure Workpiece,2.98,4.71,,
1636,2022-03-07 14:39:59,Put Workpiece in OK Pile,,,,OK
1637,2022-03-12 09:35:40,Produce Workpiece,,,,
1637,2022-03-12 11:35:40,Measure Workpiece,2.72,4.54,,
1637,2022-03-12 13:35:40,Put Workpiece in OK Pile,,,,OK
1638,2022-03-11 15:40:14,Produce Workpiece,,,,
1638,2022-03-11 17:40:14,Measure Workpiece,2.73,4.41,,
1638,2022-03-11 19:40:14,Put Workpiece in OK Pile,,,,OK
1639,2022-03-19 15:56:51,Produce Workpiece,,,,
1639,2022-03-19 17:56:51,Measure Workpiece,2.78,4.35,,
1639,2022-03-19 19:56:51,Put Workpiece in OK Pile,,,,OK
1640,2022-03-12 11:51:27,Produce Workpiece,,,,
1640,2022-03-12 13:51:27,Measure Workpiece,2.19,4.78,,
1640,2022-03-12 15:51:27,Put Workpiece in Scrap Pile,,,,NOK
1641,2022-03-16 10:16:25,Produce Workpiece,,,,
1641,2022-03-16 12:16:25,Measure Workpiece,2.19,4.22,,
1641,2022-03-16 14:16:25,Put Workpiece in OK Pile,,,,OK
1642,2022-03-14 12:55:51,Produce Workpiece,,,,
1642,2022-03-14 14:55:51,Measure Workpiece,2.98,4.67,,
1642,2022-03-14 16:55:51,Put Workpiece in OK Pile,,,,OK
1643,2022-03-18 12:25:19,Produce Workpiece,,,,
1643,2022-03-18 14:25:19,Measure Workpiece,2.88,4.46,,
1643,2022-03-18 16:25:19,Put Workpiece in OK Pile,,,,OK
1644,2022-03-15 12:58:59,Produce Workpiece,,,,
1644,2022-03-15 14:58:59,Measure Workpiece,2.48,4.44,,
1644,2022-03-15 16:58:59,Put Workpiece in OK Pile,,,,OK
1645,2022-03-13 12:40:41,Produce Workpiece,,,,
1645,2022-03-13 14:40:41,Measure Workpiece,2.96,4.54,,
1645,2022-03-13 16:40:41,Put Workpiece in OK Pile,,,,OK
1646,2022-03-02 11:25:26,Produce Workpiece,,,,
1646,2022-03-02 13:25:26,Measure Workpiece,2.18,4.57,,
1646,2022-03-02 15:25:26,Put Workpiece in OK Pile,,,,OK
1647,2022-03-13 09:21:40,Produce Workpiece,,,,
1647,2022-03-13 11:21:40,Measure Workpiece,2.46,4.76,,
1647,2022-03-13 13:21:40,Put Workpiece in OK Pile,,,,OK
1648,2022-03-04 12:07:27,Produce Workpiece,,,,
1648,2022-03-04 14:07:27,Measure Workpiece,2.1,4.36,,
1648,2022-03-04 16:07:27,Put Workpiece in Scrap Pile,,,,NOK
1649,2022-03-12 13:04:24,Produce Workpiece,,,,
1649,2022-03-12 15:04:24,Measure Workpiece,2.38,4.82,,
1649,2022-03-12 17:04:24,Put Workpiece in OK Pile,,,,OK
1650,2022-03-16 15:17:27,Produce Workpiece,,,,
1650,2022-03-16 17:17:27,Measure Workpiece,2.62,4.14,,
1650,2022-03-16 19:17:27,Put Workpiece in OK Pile,,,,OK
1651,2022-03-01 15:36:42,Produce Workpiece,,,,
1651,2022-03-01 17:36:42,Measure Workpiece,2.9,4.65,,
1651,2022-03-01 19:36:42,Put Workpiece in OK Pile,,,,OK
1652,2022-03-09 08:50:34,Produce Workpiece,,,,
1652,2022-03-09 10:50:34,Measure Workpiece,2.1,4.39,,
1652,2022-03-09 12:50:34,Put Workpiece in Scrap Pile,,,,NOK
1653,2022-03-06 12:59:42,Produce Workpiece,,,,
1653,2022-03-06 14:59:42,Measure Workpiece,2.25,4.67,,
1653,2022-03-06 16:59:42,Put Workpiece in OK Pile,,,,OK
1654,2022-03-08 17:24:08,Produce Workpiece,,,,
1654,2022-03-08 19:24:08,Measure Workpiece,2.19,4.65,,
1654,2022-03-08 21:24:08,Put Workpiece in OK Pile,,,,OK
1655,2022-03-12 16:09:05,Produce Workpiece,,,,
1655,2022-03-12 18:09:05,Measure Workpiece,2.7,4.63,,
1655,2022-03-12 20:09:05,Put Workpiece in OK Pile,,,,OK
1656,2022-03-17 13:58:35,Produce Workpiece,,,,
1656,2022-03-17 15:58:35,Measure Workpiece,2.17,4.38,,
1656,2022-03-17 17:58:35,Put Workpiece in OK Pile,,,,OK
1657,2022-03-11 15:47:09,Produce Workpiece,,,,
1657,2022-03-11 17:47:09,Measure Workpiece,2.59,4.29,,
1657,2022-03-11 19:47:09,Put Workpiece in Scrap Pile,,,,NOK
1658,2022-03-16 16:35:30,Produce Workpiece,,,,
1658,2022-03-16 18:35:30,Measure Workpiece,2.12,4.49,,
1658,2022-03-16 20:35:30,Put Workpiece in OK Pile,,,,OK
1659,2022-03-09 14:25:06,Produce Workpiece,,,,
1659,2022-03-09 16:25:06,Measure Workpiece,2.47,4.15,,
1659,2022-03-09 18:25:06,Put Workpiece in OK Pile,,,,OK
1660,2022-03-08 10:29:02,Produce Workpiece,,,,
1660,2022-03-08 12:29:02,Measure Workpiece,2.29,4.43,,
1660,2022-03-08 14:29:02,Put Workpiece in OK Pile,,,,OK
1661,2022-03-20 16:29:56,Produce Workpiece,,,,
1661,2022-03-20 18:29:56,Measure Workpiece,2.69,4.01,,
1661,2022-03-20 20:29:56,Put Workpiece in OK Pile,,,,OK
1662,2022-03-05 13:42:13,Produce Workpiece,,,,
1662,2022-03-05 15:42:13,Measure Workpiece,2.95,4.26,,
1662,2022-03-05 17:42:13,Put Workpiece in OK Pile,,,,OK
1663,2022-03-02 18:57:41,Produce Workpiece,,,,
1663,2022-03-02 20:57:41,Measure Workpiece,2.15,4.97,,
1663,2022-03-02 22:57:41,Put Workpiece in Scrap Pile,,,,NOK
1664,2022-03-20 18:06:27,Produce Workpiece,,,,
1664,2022-03-20 20:06:27,Measure Workpiece,2.56,4.29,,
1664,2022-03-20 22:06:27,Put Workpiece in Scrap Pile,,,,NOK
1665,2022-03-05 10:15:30,Produce Workpiece,,,,
1665,2022-03-05 12:15:30,Measure Workpiece,2.03,4.16,,
1665,2022-03-05 14:15:30,Put Workpiece in Scrap Pile,,,,NOK
1666,2022-03-07 18:12:55,Produce Workpiece,,,,
1666,2022-03-07 20:12:55,Measure Workpiece,2.37,4.07,,
1666,2022-03-07 22:12:55,Put Workpiece in OK Pile,,,,OK
1667,2022-03-20 18:37:39,Produce Workpiece,,,,
1667,2022-03-20 20:37:39,Measure Workpiece,2.76,4.54,,
1667,2022-03-20 22:37:39,Put Workpiece in OK Pile,,,,OK
1668,2022-03-12 12:11:24,Produce Workpiece,,,,
1668,2022-03-12 14:11:24,Measure Workpiece,2.85,4.53,,
1668,2022-03-12 16:11:24,Put Workpiece in OK Pile,,,,OK
1669,2022-03-20 17:46:30,Produce Workpiece,,,,
1669,2022-03-20 19:46:30,Measure Workpiece,2.12,4.48,,
1669,2022-03-20 21:46:30,Put Workpiece in OK Pile,,,,OK
1670,2022-03-16 15:16:19,Produce Workpiece,,,,
1670,2022-03-16 17:16:19,Measure Workpiece,2.13,4.35,,
1670,2022-03-16 19:16:19,Put Workpiece in OK Pile,,,,OK
1671,2022-03-11 08:14:50,Produce Workpiece,,,,
1671,2022-03-11 10:14:50,Measure Workpiece,2.18,4.71,,
1671,2022-03-11 12:14:50,Put Workpiece in OK Pile,,,,OK
1672,2022-03-15 09:59:47,Produce Workpiece,,,,
1672,2022-03-15 11:59:47,Measure Workpiece,2.97,4.3,,
1672,2022-03-15 13:59:47,Put Workpiece in OK Pile,,,,OK
1673,2022-03-19 17:26:05,Produce Workpiece,,,,
1673,2022-03-19 19:26:05,Measure Workpiece,2.71,4.47,,
1673,2022-03-19 21:26:05,Put Workpiece in OK Pile,,,,OK
1674,2022-03-20 15:27:05,Produce Workpiece,,,,
1674,2022-03-20 17:27:05,Measure Workpiece,2.14,4.84,,
1674,2022-03-20 19:27:05,Put Workpiece in OK Pile,,,,OK
1675,2022-03-03 10:45:42,Produce Workpiece,,,,
1675,2022-03-03 12:45:42,Measure Workpiece,2.87,4.84,,
1675,2022-03-03 14:45:42,Put Workpiece in OK Pile,,,,OK
1676,2022-03-04 09:33:26,Produce Workpiece,,,,
1676,2022-03-04 11:33:26,Measure Workpiece,2.04,4.68,,
1676,2022-03-04 13:33:26,Put Workpiece in Scrap Pile,,,,NOK
1677,2022-03-14 14:32:36,Produce Workpiece,,,,
1677,2022-03-14 16:32:36,Measure Workpiece,2.98,4.53,,
1677,2022-03-14 18:32:36,Put Workpiece in Scrap Pile,,,,NOK
1678,2022-03-02 14:37:29,Produce Workpiece,,,,
1678,2022-03-02 16:37:29,Measure Workpiece,2.32,4.56,,
1678,2022-03-02 18:37:29,Put Workpiece in OK Pile,,,,OK
1679,2022-03-19 13:41:18,Produce Workpiece,,,,
1679,2022-03-19 15:41:18,Measure Workpiece,2.01,4.43,,
1679,2022-03-19 17:41:18,Put Workpiece in Scrap Pile,,,,NOK
1680,2022-03-07 15:59:51,Produce Workpiece,,,,
1680,2022-03-07 17:59:51,Measure Workpiece,2.55,4.73,,
1680,2022-03-07 19:59:51,Put Workpiece in OK Pile,,,,OK
1681,2022-03-14 08:18:51,Produce Workpiece,,,,
1681,2022-03-14 10:18:51,Measure Workpiece,2.02,4.34,,
1681,2022-03-14 12:18:51,Put Workpiece in Scrap Pile,,,,NOK
1682,2022-03-08 17:04:22,Produce Workpiece,,,,
1682,2022-03-08 19:04:22,Measure Workpiece,2.72,4.5,,
1682,2022-03-08 21:04:22,Put Workpiece in OK Pile,,,,OK
1683,2022-03-16 18:59:21,Produce Workpiece,,,,
1683,2022-03-16 20:59:21,Measure Workpiece,2.82,4.31,,
1683,2022-03-16 22:59:21,Put Workpiece in OK Pile,,,,OK
1684,2022-03-03 18:49:33,Produce Workpiece,,,,
1684,2022-03-03 20:49:33,Measure Workpiece,2.25,4.77,,
1684,2022-03-03 22:49:33,Put Workpiece in OK Pile,,,,OK
1685,2022-03-01 15:41:01,Produce Workpiece,,,,
1685,2022-03-01 17:41:01,Measure Workpiece,2.81,4.11,,
1685,2022-03-01 19:41:01,Put Workpiece in OK Pile,,,,OK
1686,2022-03-03 11:51:35,Produce Workpiece,,,,
1686,2022-03-03 13:51:35,Measure Workpiece,2.73,4.05,,
1686,2022-03-03 15:51:35,Put Workpiece in OK Pile,,,,OK
1687,2022-03-20 10:32:06,Produce Workpiece,,,,
1687,2022-03-20 12:32:06,Measure Workpiece,2.44,4.43,,
1687,2022-03-20 14:32:06,Put Workpiece in Scrap Pile,,,,NOK
1688,2022-03-01 14:17:55,Produce Workpiece,,,,
1688,2022-03-01 16:17:55,Measure Workpiece,2.35,4.31,,
1688,2022-03-01 18:17:55,Put Workpiece in OK Pile,,,,OK
1689,2022-03-02 10:34:51,Produce Workpiece,,,,
1689,2022-03-02 12:34:51,Measure Workpiece,2.21,4.29,,
1689,2022-03-02 14:34:51,Put Workpiece in OK Pile,,,,OK
1690,2022-03-13 11:37:27,Produce Workpiece,,,,
1690,2022-03-13 13:37:27,Measure Workpiece,2.18,4.43,,
1690,2022-03-13 15:37:27,Put Workpiece in OK Pile,,,,OK
1691,2022-03-10 13:05:28,Produce Workpiece,,,,
1691,2022-03-10 15:05:28,Measure Workpiece,2.85,4.62,,
1691,2022-03-10 17:05:28,Put Workpiece in OK Pile,,,,OK
1692,2022-03-02 11:37:34,Produce Workpiece,,,,
1692,2022-03-02 13:37:34,Measure Workpiece,2.81,4.68,,
1692,2022-03-02 15:37:34,Put Workpiece in OK Pile,,,,OK
1693,2022-03-18 15:14:23,Produce Workpiece,,,,
1693,2022-03-18 17:14:23,Measure Workpiece,2.75,4.52,,
1693,2022-03-18 19:14:23,Put Workpiece in OK Pile,,,,OK
1694,2022-03-02 08:10:53,Produce Workpiece,,,,
1694,2022-03-02 10:10:53,Measure Workpiece,2.57,4.32,,
